,Tweets,Level 1,Level 2
19963,Agr koi bnda Redmi T k sathexchangekrna chahta hai to rabta kry bilkul new set /10 condition month warranty....... From lahore,no emotion,Neutral
19962,Nova i kisi ne lena ho to ya kisi ne oppo f7 k sath exchange karna ho to rabta karo watsap,no emotion,Neutral
19961,I want to sale vivo ys /18 main full warranty fanill rate rabta whatsapps no,no emotion,Neutral
19960,Mere pass oppo reno pro hai Gb sukkur sindh men koi bhai lenachaito rabta kar skta hai final price hai Blue color mukaml saman8 monthswaranty Whatsapp nmbr,no emotion,Neutral
19959,"AOA every one mary pass samsun note ha gb and gb dual sim agar kisi nea oppo reno pro g main exchange karna ha to rabta kary ,from swabi, abbottabad only",no emotion,Neutral
19958,Aoa..salam to all bro kisi bhai k pas warnty mian opo reno pro .. warnty main hai tou rabta kren ..from karachi only..thnkx,no emotion,Neutral
19957,Koi friend poco x3 k sathexchangekry tu contact warranty start from march contact but set /10 hona chayee only Multan,no emotion,Neutral
19956,Koi pocco x3 k sathexchangekrna chahta hy to rbta kry ....... January ko warranty start hoi hy month used hy...no issue,no emotion,Neutral
19955,Mujy oppo reno pro chahey agr koi sail kana chahta ho to contact kary,no emotion,Neutral
19954,AoA bhai m apna oppo Reno pro sale kar raha hun interested bhai rabta kryn din he pahla lia ha alla acsesre pack hm bus charjr he istmal kia ha by ha,no emotion,Neutral
19953,Oppo reno pro ki price kb down ho gi? OR oppo reno pro kb launch ho ga pakistan ma?,no emotion,Neutral
19952,Reno x zoom conditionssale kr raha hn jis ne lena hai rabta kry gujrat,no emotion,Neutral
19951,ab Ham yah phone nahi le ge,emotion,Sad
19950,ab Ham yah phone nahi le ge,no emotion,Neutral
19949,khuda Ka khof kro oppo walo... not valuable price,emotion,Anger
19948,"Kia soch kr ye price rakhi ha, pakistani awam ko pagal bnaya hua ha india ma yhi phone k ka ha Isko pta ni kon bewakoof kharidy ga is price ma.",emotion,Anger
19947,k tak thk tha bht h high price hay not possible,no emotion,Neutral
19946,bhai find x2 pro chahiye multan mein reaasonable price par if anyone want to sellcontact me09,no emotion,Neutral
19945,Honor walo Battery Bhi Barha Lo Mobile ki warna is mobile ka koi faida nehi,emotion,Sad
19944,Honor walo Battery Bhi Barha Lo Mobile ki warna is mobile ka koi faida nehi,no emotion,Neutral
19943,Me apna Samsung A0 honorx say Exchange karna chata ho mobile balkul saaf hai koi nishan nai hai.only mobile phone Exchange,no emotion,Neutral
19942,kisi ny honor play se exchange krna ha to please contact,no emotion,Neutral
19941,koi Bhai x .sale kerna chahta hain tucall me01,no emotion,Neutral
19940,Honor play available /64 blue color /9 condition koi fault nhe har cheez me perfect he mashallah original chrger box available he agar ksi bhai ko chaiye to rabta kare location larkana9,no emotion,Neutral
19939,. Honor for sale. Glass tota hua ha thora sa aur back b thori c kharab ha. Baqi sb kuch theek ha. Meri demand k tk ha. Gujranwala se,no emotion,Neutral
19938,i want to sail honor /10 (4/64) just finger kaam ni kar rha no open no repair Pta approved Rs,no emotion,Neutral
19937,I want to buy this set. Condition achi hone chahye contact,no emotion,Neutral
19936,May apna Infinix hot play RAM/6ROM wala mobile exchange kerna chahta hoon with box.condition /10 .agar koi interested hay to WhatsApp me .,no emotion,Neutral
19935,Mai apna huawei honor sale krna chahta hun condition /10 hy with box sirf lahore waly contact kren shukriya,no emotion,Neutral
19934,Koi bahi ke range may sale krna chahta hy tu rabita kry no,no emotion,Neutral
19933,mere pas oppo as hai gb gb rom with box and charger by condition price call pe batao ga urgent for sale only islamabad and rawalpindi wale contact kare...,no emotion,Neutral
19932,Kise ko b rawalpindi Islamabad ma ya phone chyia is number pay content kry phone /10 haa,no emotion,Neutral
19931,Agr koi bhai poco x3 nfc k sath exchange krna chahtha hon tocontact me02,no emotion,Neutral
19930,My sale techno camon GB ram GB ROM new days use urgent sale and my demand and my contact number sirf jis ko lyna hai who call kary,no emotion,Neutral
19929,Agr koi samsung m1 exchng krna chata ha a0 se gb gb se to phr rabtya a0 full box mily ga sth kch pasy b dy do ga wahab yasin jhelum number,no emotion,Neutral
19928,Guys agr koi user Ms use kr rha then please mjy is k about bta dy k yeh kesa mobile ha use krny main lena chahye ya nahi ya is k alternative konsa best rhy ga.,no emotion,Neutral
19927,Mein Samsung Glaxy mS buy krna chahta hn.. Agar ksi bhai ny sale krna hy to plz cntct me Lahore & Mianwali Both Cities,no emotion,Neutral
19926,Koi brother agar Nokia ky Sath m1 change kerna chahty hy to rabta karain,no emotion,Neutral
19925,Assalaam o alaikum Dear bro Mery pass Infinix i hai Mein Samsung Ms se change krna chahta agar koe bhai krna chahy plz Rabta kary Im frm Multan,no emotion,Neutral
19924,MA NY buy Karna hai Multan ya Faisalabad KY as pas Ho tu,no emotion,Neutral
19923,Super device by samsung..I want sale this cell ..just month use ..orginal every thing ..Lush new condition.. Gujranwala..Gujrat ..se serious rabbta kre.. Priece K..negotiable.. call or sms on Contact No.06 Guhranwala,no emotion,Neutral
19922,Yar agar specs ko dekhain to us hisab se is ki Price tak ho toh behtreen hai. Lakin se oper is ko lene ka koi faida nahi.,no emotion,Neutral
19921,Samsung ko apni prices py thori aur reduce krni chye jab Infinix aur tecno /3 mein mil raha hai,no emotion,Neutral
19920,Agar es ka as pas ki qimat hoi to bht mehnga h thora nai buhat sochna chahyee Samsung walo ko,emotion,Sad
19919,Ek time tha jab Samsung ne A0 A0 A0 market Mai diye aur A0 superAmoled k sath aaya usne market hila k Rakh Di thi AJ bhi wo set used se ki range Mai sale hota hai lakin ab Samsung IPS panel ki range Mai de Raha hai bakwas cameras fazool processor,emotion,Anger
19918,Ek time tha jab Samsung ne A0 A0 A0 market Mai diye aur A0 superAmoled k sath aaya usne market hila k Rakh Di thi AJ bhi wo set used se ki range Mai sale hota hai lakin ab Samsung IPS panel ki range Mai de Raha hai bakwas cameras fazool processor,no emotion,Neutral
19917,Samsung apne aap ko Apple samajhne lagaen ka variable de raha hai ki limit mein isase suguna achcha vivo y s performance achcha dega jo abhi January mein launch hone wala hai in companiyon hamen ullu banaya hua hai,emotion,Anger
19916,Mene samsung as gb wala days phly liya h karachi sadar se bht Acha phone h late hi update bhi agai mene ka liya ap log bhi issue mhenga nai lena,emotion,Happy
19915,Bhai ye bta do is main sim aur sath card akhta chal jata hai slote hai,no emotion,Neutral
19914,Slam Bhai jan jis jis ne ye use kiya kiya wo bata sakte k camera ka result kesa,no emotion,Neutral
19913,Main youse kar raha hun acha camera result hay battery timing b achi hay samsung brand hay phir achi que na ho best perfomis hay vivo.tecno.infinix ahor dusri brands se kafi had tak acha hay,emotion,Happy
19912,Bhot acha mobile hy.m ny ka Lia hy.chanies brands sy speed m bhot teez hy.samsung GB ram chanies gb ram sy zada speed deti h,emotion,Happy
19911,Bohat kamal ka set hai oppo vivo redmi per paisay zaya mat karoo Samsung Samsung hai,emotion,Happy
19910,Yar Samsung ki S series ka koi mukabla nahi bhia. Excellent Look and specs.,emotion,Happy
19909,Samsung ka koi muqabala nhi S series is most fastest and chipest,emotion,Happy
19908,Ghz octa core na fingerprint na camera ka resolution khaas ak dam bakwas set Full Paisa Barbaad Mobile,emotion,Anger
19907,/64 Me Itni price me Best he or Battery bhi Mah wao Great,emotion,Happy
19906,Now Samsung Doing Good Work es price tag mein ek Samsung ka /6gb wala phone best hai. fingerprint or fast charging nahi phir bhi compromise ho jata hai kyu k Samsung ka phone hai es price mein Chinese brand k phone milty hain aisi specification mein.,no emotion,Neutral
19905,Sab koch theak ha but charger k begair iPhone ko copy kr rahy ha sab ab next time sab koch kud he ly na ho ga insan itna manga phone ly raha ha sath charger bi ni dy skty yahlog,no emotion,Neutral
19904,S0 is better because uska display x hai uski look is se b pyari hai or same ram or storage hai koi specially change nh,no emotion,Neutral
19903,Friend Curved Display Khatam kark PPI S Series Ki Se Kam Krk Ab A Lakh Me Casing Change Kark Derahe hain,no emotion,Neutral
19902,s plus /18 gb blackcolourPTA patch IMei Change condition by no dout no fult fd model fnf Price jisko chahiya wohi rbta kare urgent sale,no emotion,Neutral
19901,I want to sale my s0 plus.. /10 condition Not even a single scratch Vip approved. With complete box Screen m aik needle size white nishan ha.. Jo bilkul b nzr ni aata. Price k. Location Kasur.,no emotion,Neutral
19900,huawei y for sale nly only .mene feb khareda ha .worenty abi agly month shoro hani ha.07 par rabta karen. i am from faisalabad,no emotion,Neutral
19899,Jaisa socha tha waisa nhi hai Or honey sing thora over weight lg raha h.... but wellcome back bro...,emotion,Happy
19898,Jaisa socha tha waisa nhi hai Or honey sing thora over weight lg raha h.... but wellcome back bro...,emotion,Surprise
19897,Honey Singh ke song me pehle Jaisi baat nahi rahi if you agree like,emotion,Sad
19896,Like only for yo yo sir it's good sir bt apke phle ke song jaisa msti nhi aayi.. kuchh dhmal mchao sir you are my favorite..,emotion,Sad
19895,Like only for yo yo sir it's good sir bt apke phle ke song jaisa msti nhi aayi.. kuchh dhmal mchao sir you are my favorite..,emotion,Happy
19894,Itna accha nhii tha jitna expect kiya tha but still a huge fan of yo yo honey Singh,emotion,Sad
19893,Itna accha nhii tha jitna expect kiya tha but still a huge fan of yo yo honey Singh,emotion,Happy
19892,Bhai tum na daro tumse to puri dunia darti hai isliye Airport par hi nanga kar diya jata hai.,emotion,Sad
19891,Sirf Neha kakkar ke wajah se song accha hai warna bikaar hai,emotion,Sad
19890,Sirf Neha kakkar ke wajah se song accha hai warna bikaar hai,emotion,Happy
19889,Bhai don't disrespect women. Baki song no h. Love from imran Khan fan.,emotion,Happy
19888,Bhai don't disrespect women. Baki song no h. Love from imran Khan fan.,emotion,Sad
19887,"Humesha ki tarah video kaatil h , par song me honey sing wali baat nhi aayi to be honest",emotion,Happy
19886,"Humesha ki tarah video kaatil h , par song me honey sing wali baat nhi aayi to be honest",emotion,Sad
19885,huawei y for sale nly only .mene feb khareda ha .worenty abi agly month shoro hani ha.07 par rabta karen. i am from faisalabad,no emotion,Neutral
19884,Metro start ho rha hai kya,no emotion,Neutral
19883,Sana jo kehti uski news bn jati spotboye ake article likh dega ager usku bd promote krna aaj ka din sahi nhi ager kiya tu dusre song ke bare me bhi baat krni chaihe thi .,no emotion,Neutral
19882,Lol apni amma k kamray mein frame krwa kr lagao. Fake theories bana kr apnay aap ko khush krnay walo.,no emotion,Neutral
19881,Chalo time ae dekha dai gye tum logun ko,no emotion,Neutral
19880,Aunty ji ka article hai. Sach me ganwaar ho kya?,no emotion,Neutral
19879,Abay bta day Share krnay say dill Halka Ho jat hai,no emotion,Neutral
19878,Wah kya baat kah di. Problem is ..the perfect love in this world is only parent's love. Rest all r materialistic approach.,no emotion,Neutral
19877,krny sy kya hota hy? Aur boy ki marzi ki baat kon c hoti hy?,no emotion,Neutral
19876,Kon karta hai. Nam mention kro,no emotion,Neutral
19875,Abhi abhi Jab We Met dekha hai kya....?? #KareenaKapoor #ShahidKapoor #jabwemet,no emotion,Neutral
19874,Jcb jaisa feel ho raha hai,no emotion,Neutral
19873,O bhai problem btao kia h ..q Mention kia yha?,no emotion,Neutral
19872,.kia Talaq aik sat deny say talaq ho jati hy.Quran sonah k motabiq.Plz tel me.,no emotion,Neutral
19871,President Nhi PM*** haha Orr ye Baat Khan Kar Deta Tu Kya ha Media Ko Rating k Moka Mil Jata,no emotion,Neutral
19870,Ok sis . I respect your opinion but they were all Muslims aur har insaan ke andar negative points hote hai jaise k aap k heroes k andar hon gai agar Pakistan ko pukhtoon ya Afghan Emperor s masla hota to apne missile k naam un k name pr na rakhta..,no emotion,Neutral
19869,Magar woh ilm kitabain apni abba ki jo dhekoun unko europ min tu dil hota ha separa #iqbal_after_reading_khushal_khan_khattak in Europe,no emotion,Neutral
19868,Ye tv serial band kyon kar diya? Ab baje se Bhabhi ji ghar par hai aata hai daily. Pls start it,no emotion,Neutral
19867,Abhi class li hai...,no emotion,Neutral
19866,"O bhai bAzim Premzi Muslim nahi hai, itna to samajh",no emotion,Neutral
19865,population control jab tak nhi hogi tab tak India me halaat nhi sudharne waale.. aap chahe jitna zor laga lo. .,no emotion,Neutral
19864,aaj haryana me yeh halaat ho gye h ki IMT me company me labours nhi hai kaam karne k liye. .,no emotion,Neutral
19863,bhai tu bs khush reh single or taken,no emotion,Neutral
19862,Haan kayi bar hua hai ek bar pure shaf me akela main ruku me tha phir reverse gear laga k wapas hua.,no emotion,Neutral
19861,Bahi iske kafare me mein yeimen ki episode zada dekhonga,no emotion,Neutral
19860,Lehri ji like kr to rhe h or kya chahiye,no emotion,Neutral
19859,ye upsc ka question hai is baar mains ka....likh ke le lo,no emotion,Neutral
19858,Abhi nhi khelte tum dinner kr lo..... Yhaa thodi der baad tum dikhi toh ke baad,no emotion,Neutral
19857,"Acc to AIIMS Director 'Picture abhi baaki hai mere dost' June July would be the peak for us, he said.",no emotion,Neutral
19856,"Truly , it is the Innovative idea to the take it to the next level !",no emotion,Neutral
19855,Arrey Sir Ji jobs ki aisi ki taisi ho gayi hai !,no emotion,Neutral
19854,Good acha kia hum Banghalyo ka badla lenge Dehli pr Flag pehley b laga chukey hai Humarey dadey tum Ghulam tey humarey or tumhari auratain dasiya ti ab pir Hum ayenge Ghazwa e Hind Yaad rakna bs wo Din ajae pir poojapaat ka time nahi milega,no emotion,Neutral
19853,Sanju ko iske Career se nikal do toh h hi kya ye site wala dalla sudhrega nhi ..,no emotion,Neutral
19852,Ye Bihar hai yaha sirf formalities hota hai.,no emotion,Neutral
19851,Yaar ek baat batao India ko aazadi to me hee mill gayee thee aap logon ko pata hee nahi chala Kamal hai Be a friend lock down ke baad zindagi aazadi se jiye hum aapke sath hai aur please hamari Lucknowi andaaz me ise boring life kehte hai thoda hansa Karo khush raho,no emotion,Neutral
19850,Aur haan mere ko Aap sabse pehle follow back Karo mai tumko baad me batata hun aur kya kiya ja sakta hai life ko easy banane me,no emotion,Neutral
19849,Allahu Akbar Par yeh to galat hai na agar aap ghumenge phirenge nahi to logon ko janenge kaise Aur Dusari cheese jo jis se dur bhagta hai Allah wo uski kismat ME zarur likhta hai what do you think,no emotion,Neutral
19848,Acha hai to aap kab Free hongi,no emotion,Neutral
19847,Ab tak aap kahan kahan ghumne ja chuki hai apni family ke sath,no emotion,Neutral
19846,Aap darr gayee kya maaf kijiyega I respect you alot,no emotion,Neutral
19845,Ye tricks mere par mat azma Alhumdulillah tum logo ki harkato sy wakif hn mai...,no emotion,Neutral
19844,Meri bat ka jawab dy Mirza ko kia manty ho tum loog... Idhr udhr ki bat mat kar direct point pa aa.,no emotion,Neutral
19843,Kabhi Quran translation ky sath parha hai? Parha hota tu pta hota tum logo ko ky ye sari qainat Prophet Muhammad P. B. U. H ky lye bani hai..,no emotion,Neutral
19842,Bas aik hi point hai tum logo ky pass bicharay. Ans: Hazrat ESSA AS ko Prophet P. B. U. H sy pehly nabowat mil chuki hai or unka nazool hona hai dobara naaa ky paida hona hai.. Tu bas ye bta Mirza ko kia manty ho tum loog?,no emotion,Neutral
19841,Thek hai krta hon send,no emotion,Neutral
19840,hai tu what else is needed ....,no emotion,Neutral
19839,"Me too. I miss power talks, eating together, discussing people's fashion choices and what else party toh kar hi lete hai.",no emotion,Neutral
19838,Yahi to important hai.,no emotion,Neutral
19837,"Mujhe samjh nahi aata kya problem h logo ko rebrand se. Ab poco X2 aaya to hmare samne to wahi available hai na, aisa to hai ni k0 or poco X2 dono available hai. Sirf name hi to change hai.",no emotion,Neutral
19836,Wo bhainga yehi kar sakta hai. Saara time dusro ko paid/ chor bolega aur khud ko honest reviewer. Ye nhi ki apne kaam pe focus kare,no emotion,Neutral
19835,"Bro but Realme Narzo &amp; a is not a good deal. In k only p hd display. a is same as C3, but k extra for fingerprint &amp; mp camera. Bro direct btaya karo ki phone sahi nahi hai, decent bolke kya fyada. Geeky Ranjit sir direct bta dete hai",no emotion,Neutral
19834,Itni deep deep baten ituu si umer main why bro :/,no emotion,Neutral
19833,Haan yeh tou hai maturity ka age se koi laina dena nhi hai.,no emotion,Neutral
19832,Tum mjhy ignore kr rage hum btameezi bhe ke tum ny,no emotion,Neutral
19831,Me mazak kar raha hu tum nana patekar wala serious looknkeo de rahi ho,no emotion,Neutral
19830,Abhi tak mhujy dm keo nahi kia,no emotion,Neutral
19829,Ap DM nai dekhti kia ma sms kia tha,no emotion,Neutral
19828,Jaisai ye haqeeqat accep ki hai k masjid band nahi hui and all were put in damger waisai he ye haqeeqat bhi accept karni chahiye. Baaki aap ki marzi,no emotion,Neutral
19827,Why always POLICE ? Koi aur department nahi thaa kya ? Bus Police ko kis b tarah joker bun kar logon ko khush karna hai.. Aur bohat saray department hein . Just wait when they will wear this Uniform and will make a shame for Police Dept.,no emotion,Neutral
19826,Police ko mazaq samajhte hai ye officers jis ne ye kam kya,no emotion,Neutral
19825,lrkyon ko to milta hain yahan fame bs aik pic daalo or bs log dara dar shuru ho jate ..hm boys ka to koe haal nae adha like bhi koe nae krta,no emotion,Neutral
19824,Main gate kay bahar hi khara ho.,no emotion,Neutral
19823,Meri side na lii tu talaq de dn g XD,no emotion,Neutral
19822,Yeh ise bhi pta hai magr log attention ke liye kuch bhi karenge,no emotion,Neutral
19821,Sir g.assalam o alaikum AP k abbu Jan se mulaqat ki aarzoo Hy. Kesy mumkin hi sakti Hy.,no emotion,Neutral
19820,sir apka walid shab ka shairi hai apke walid shab na apki walida muhtrma ka lia ki,no emotion,Neutral
19819,Yo yo test Kya ho ga,no emotion,Neutral
19818,Abhi to start hva ha agy agy daikho hota ha kia,no emotion,Neutral
19817,Kya hua tha inhyn please?,no emotion,Neutral
19816,Un ka trend top pai hai ..ur abi un k khelaf mukhtalif trends start howai hai to agr sab aik chalayai to acha hoga,no emotion,Neutral
19815,"Hi Amjad, Humein be-hadd afsos hai ke aap ko maslay ka samna karna parra. Please humari Social media team se inbox ke zariye rabtaa kar kay, apni connection details share karein. Humari team apke maslay ko jald hul karay gi.",no emotion,Neutral
19814,Well done Ma Sha Allah,no emotion,Neutral
19813,Dear Sir... Challenge ho gea. Agar ap na aik haftey ma kar dikhaya to ma Allah ko hazir nazir jaan kar kehta hun k Noon league par lanat bhej k chor dunga. Awar agar na kar sakey to ap kia jurmano do gay? reply na kia to ham apki haar samjhengay.,no emotion,Neutral
19812,Allah kry aisa hi ho r university of mianwali HEC sy isi hafta recognize ho jay r dusry tama masail bhi hal ho jay.. Ager eid tak uni k masail hal na ho saky to inshaAllah hm hr qanuni forme pr apny awaz buland kry gy ihtajaj krny pry to bhi kry .....,no emotion,Neutral
19811,g yh khan jnho uni di hy... but khan ko phir koe ata ptaa b krna chiya hmra mustkbl daoo py lga hiya khan ko yh kio nzr ni ata nojvan nsl sh umdn to un ko hy to yh kio ni smjhty k hmn b un sy umeedn hy hmra digres ka.msla hy,no emotion,Neutral
19810,Beshak hum mnty Hain ye bat.... But uni hi hai ye srf Nam sy eska koi wali Waris nhi hai.... Humri awaz uthany ka maqsid hi esy Asal uni bnana hai... Srf Nam ki nhi.... Shukriyah!,no emotion,Neutral
19809,Off time me aisa hota rehta hai,no emotion,Neutral
19808,Itna hai ki maine khud months ka rashan order kar liya hai aur publicly bhi salah de di hai.,no emotion,Neutral
19807,Tumne padha ise English aati hogi tab samajh aayega na kya likha hua hai Btw Chamchon ko fact se kya Angrej chale gaye gulam abhi bhi hain God bless u with strength.,no emotion,Neutral
19806,"same here, mera bhi poco f1 ekdam rone laga hai, ab format karke custom rom pe jana padega..",no emotion,Neutral
19805,Sir o balakot ka nam kab changes karenge hum,no emotion,Neutral
19804,Please help me sir. I am working at VIVA HOSPITALITY IMLY RESTAURANT New Delhi. Sir mere restaurant ke owner Hamari salary nahi de rahe hai from February month to till now. Sir hame bahut problem ho rahi hai. Sir aab to khaana khaane ke liye bhi Paisa nhi hai,no emotion,Neutral
19803,: Kya ye civil war ho raha hai? Is it Bhara Or Syria? Sotey rahiye HM!,no emotion,Neutral
19802,: Ye jo WHO VISIT YOUR PROFILE wali website h na.. Khud hi update kr raha hai links Twitter acc pr.. Dekho sbke acc pr u,no emotion,Neutral
19801,: Shehnaaz Live aa rahi hai ..?? Ye news true h ya fake ?? #KehGayiSorryTomorrow,no emotion,Neutral
19800,: Sab apna Art dikha rahe hai.. Maine socha m b dikha du But ye years pehle k Kaarnaame hai....,no emotion,Neutral
19799,: Main Rude Nahi hu... #KehGayiSorryTomorrow,no emotion,Neutral
19798,": Yaar ye Jo speech likhta hai, kaafi emotional aadmi hai ye P.S. Thoda setup kam rakho bhai... punchline zyada daalo..",no emotion,Neutral
19797,": Veeru doesn't like any season except spring, usko sirf basanti pasand hai!",no emotion,Neutral
19796,: Hum ne sab kuch kar ke bhi kuch mhi kiya hai ...... #Gov ka kuch kaam hai ya nhi #JusticeForJeyashree,no emotion,Neutral
19795,: #ArrestSambitPatra Iske liye mental hospital hi best option hai.,no emotion,Neutral
19794,: #BoisLockerRoom scandal k samne aate hi ladko ko itna sab bola gya Yehi haal hai society ka kuch b ho galti to ladke ki h,no emotion,Neutral
19793,": I dedicate #Dialogue ""Dosti ka ek usool hai madam no sorry, no thank you."" Now it's your turn",no emotion,Neutral
19792,: Chaahe lyrical bhi ho ... Hit toh krni hi hai for our baby grl... So be prepared ... Won't give others the chance to q,no emotion,Neutral
19791,: KIA SHAAN HAI Hazrat Aisha R.Z AMI KI ALLAH HIMSELF chose her for HIS beloved .(MUHAMMAD RASL ULLAH) ASWJ Official Trends,no emotion,Neutral
19790,: may ko dobara ijlas hai or is main faisla hoga to meri tamam student se request hai is hashtag ko dobara chalen or,no emotion,Neutral
19789,: Brother I think wo hmare favour me kuch kehna chah rhi h Language unka sath ni de,no emotion,Neutral
19788,": Sir ap ka jo kaam hai ap wo dkhy or Pakistan ki study ka kuch sochy..University ki fees ka kuch kry, Hallaat",no emotion,Neutral
19787,: This person copies my Tweets likes she owns it Khair still i don't mind ab banda hai hi aisa sab sadqe vari,no emotion,Neutral
19786,: chornay walay ko choray janay walay say ziyada takleef hoti hai. the end.,no emotion,Neutral
19785,: meri favour ho rai hai yahan payyy. feeling loved with others.,no emotion,Neutral
19784,: #askaayat even tho i know ignore hee karna hai tum logon nay.,no emotion,Neutral
19783,: Lahore ka mosam Lahoriyo ki tarhan awesome hai.,no emotion,Neutral
19782,: Asalam o alikom please share this Hmari gao Ka ye lrka drya mi doob Gaya hai ajj din hay Koch pta nhi chala abi tak ham,no emotion,Neutral
19781,: qadyani are zindeeq kafir .. they are not muslims .. End of discussion.. #AhmadisAreNotMuslims,no emotion,Neutral
19780,": Masla pasand ka nahe inferiority complex ka hai yahan, Arbon aur Turk se gadhi aaigen na unke bhi koi fazeelat batai ja",no emotion,Neutral
19779,: Aap ky bachoo ny apko black mail kia aap apny ghar ky qisy public na kia kren hum,no emotion,Neutral
19778,": Economic package aagya hai, you know who all will show Their Kagaz to take benefits?",no emotion,Neutral
19777,: Dono parties agar police ko involve na karna chahain to Police kudh se in,no emotion,Neutral
19776,": Haha, mera b yehe guess tha.. Q k ese area m ye tycoons apne marzi k ee banday lagwatay.",no emotion,Neutral
19775,: Koi sana ko utha do Khan hai #KehGayiSorry me to live ka wait kar rai thi ab message hi ajae,no emotion,Neutral
